Delimiters (│) should align. [ALL+VS16+W/VS]
│──│═══════════════════
│🚔️│ 0x1F694+0xFE0F
│🚘️│ 0x1F698+0xFE0F
│🚭️│ 0x1F6AD+0xFE0F
│🚲️│ 0x1F6B2+0xFE0F
│🚹️│ 0x1F6B9+0xFE0F
│🚺️│ 0x1F6BA+0xFE0F
│🚼️│ 0x1F6BC+0xFE0F
│#️│ 0x0023+0xFE0F
│*️│ 0x002A+0xFE0F
│0️│ 0x0030+0xFE0F
│1️│ 0x0031+0xFE0F
│2️│ 0x0032+0xFE0F
│3️│ 0x0033+0xFE0F
│4️│ 0x0034+0xFE0F
│5️│ 0x0035+0xFE0F
│6️│ 0x0036+0xFE0F
│7️│ 0x0037+0xFE0F
│8️│ 0x0038+0xFE0F
│9️│ 0x0039+0xFE0F
│©️│ 0x00A9+0xFE0F
│®️│ 0x00AE+0xFE0F
│‼️│ 0x203C+0xFE0F
│⁉️│ 0x2049+0xFE0F
│™️│ 0x2122+0xFE0F
│ℹ️│ 0x2139+0xFE0F
│↔️│ 0x2194+0xFE0F
│↕️│ 0x2195+0xFE0F
│↖️│ 0x2196+0xFE0F
│↗️│ 0x2197+0xFE0F
│↘️│ 0x2198+0xFE0F
│↙️│ 0x2199+0xFE0F
│↩️│ 0x21A9+0xFE0F
│↪️│ 0x21AA+0xFE0F
│⌨️│ 0x2328+0xFE0F
│⏏️│ 0x23CF+0xFE0F
│⏭️│ 0x23ED+0xFE0F
│⏮️│ 0x23EE+0xFE0F
│⏯️│ 0x23EF+0xFE0F
│⏱️│ 0x23F1+0xFE0F
│⏲️│ 0x23F2+0xFE0F
│⏸️│ 0x23F8+0xFE0F
│⏹️│ 0x23F9+0xFE0F
│⏺️│ 0x23FA+0xFE0F
│Ⓜ️│ 0x24C2+0xFE0F
│▪️│ 0x25AA+0xFE0F
│▫️│ 0x25AB+0xFE0F
│▶️│ 0x25B6+0xFE0F
│◀️│ 0x25C0+0xFE0F
│◻️│ 0x25FB+0xFE0F
│◼️│ 0x25FC+0xFE0F
│☀️│ 0x2600+0xFE0F
