Delimiters (│) should align. [GRAPHEME w=3]
│───│═══════════════════
│𑄇𑄳𑄠𑄬│ 11107+11133+11120+1112C
│ꦤ꧀ꦗ│ A9A4+A9C0+A997
│ꦤ꧀ꦗꦸ│ A9A4+A9C0+A997+A9B8
│ꦤ꧀ꦗꦼ│ A9A4+A9C0+A997+A9BC
│ꦤ꧀ꦚꦶ│ A9A4+A9C0+A99A+A9B6
│ꦤ꧀ꦛꦶ│ A9A4+A9C0+A99B+A9B6
│ꦤ꧀ꦝ│ A9A4+A9C0+A99D
│ꦤ꧀ꦝꦁ│ A9A4+A9C0+A99D+A981
│ꦤ꧀ꦝꦶ│ A9A4+A9C0+A99D+A9B6
│ꦤ꧀ꦝꦸ│ A9A4+A9C0+A99D+A9B8
│ꦤ꧀ꦝꦸꦁ│ A9A4+A9C0+A99D+A9B8+A981
│ꦤ꧀ꦝꦼ│ A9A4+A9C0+A99D+A9BC
│ꦤ꧀ꦠ│ A9A4+A9C0+A9A0
│ꦤ꧀ꦠꦂ│ A9A4+A9C0+A9A0+A982
│ꦤ꧀ꦠꦶ│ A9A4+A9C0+A9A0+A9B6
│ꦤ꧀ꦠꦸ│ A9A4+A9C0+A9A0+A9B8
│ꦤ꧀ꦠꦸꦁ│ A9A4+A9C0+A9A0+A9B8+A981
│ꦤ꧀ꦠꦼ│ A9A4+A9C0+A9A0+A9BC
│ꦤ꧀ꦠꦼꦂ│ A9A4+A9C0+A9A0+A9BC+A982
│ꦤ꧀ꦠꦽ│ A9A4+A9C0+A9A0+A9BD
│ꦤ꧀ꦢ│ A9A4+A9C0+A9A2
│ꦤ꧀ꦢꦁ│ A9A4+A9C0+A9A2+A981
│ꦤ꧀ꦢꦂ│ A9A4+A9C0+A9A2+A982
│ꦤ꧀ꦢꦶ│ A9A4+A9C0+A9A2+A9B6
│ꦤ꧀ꦢꦸ│ A9A4+A9C0+A9A2+A9B8
│ꦤ꧀ꦢꦼ│ A9A4+A9C0+A9A2+A9BC
│ꦤ꧀ꦤ│ A9A4+A9C0+A9A4
│ꦤ꧀ꦤꦶ│ A9A4+A9C0+A9A4+A9B6
│ꦤ꧀ꦤꦶꦁ│ A9A4+A9C0+A9A4+A9B6+A981
│ꦤ꧀ꦤꦼ│ A9A4+A9C0+A9A4+A9BC
│ꦤ꧀ꦥ│ A9A4+A9C0+A9A5
│ꦤ꧀ꦥꦁ│ A9A4+A9C0+A9A5+A981
│ꦤ꧀ꦥꦶ│ A9A4+A9C0+A9A5+A9B6
│ꦤ꧀ꦥꦸ│ A9A4+A9C0+A9A5+A9B8
│ꦤ꧀ꦥꦼ│ A9A4+A9C0+A9A5+A9BC
│ꦤ꧀ꦧ│ A9A4+A9C0+A9A7
│ꦤ꧀ꦧꦁ│ A9A4+A9C0+A9A7+A981
│ꦤ꧀ꦧꦶ│ A9A4+A9C0+A9A7+A9B6
│ꦤ꧀ꦧꦸ│ A9A4+A9C0+A9A7+A9B8
│ꦤ꧀ꦧꦼ│ A9A4+A9C0+A9A7+A9BC
│ꦤ꧀ꦩ│ A9A4+A9C0+A9A9
│ꦤ꧀ꦩꦂ│ A9A4+A9C0+A9A9+A982
│ꦤ꧀ꦩꦶ│ A9A4+A9C0+A9A9+A9B6
│ꦤ꧀ꦩꦸꦂ│ A9A4+A9C0+A9A9+A9B8+A982
│ꦤ꧀ꦩꦼ│ A9A4+A9C0+A9A9+A9BC
